algo,p_stay,regime,safe,final_reward_mean_mean,final_reward_mean_se,violation_rate_mean,violation_rate_se,n
dqn,0.85,nonstationary,off,13.856473239045002,0.08516051508120737,0.011551507936507936,0.0013399480925217055,3
dqn,0.85,nonstationary,on,13.92605786177115,0.03497598519157009,0.0,0.0,3
dqn,1.0,stationary,off,13.856473239045002,0.08516051508120737,0.010008015873015873,0.0009520976794329759,3
dqn,1.0,stationary,on,13.92605786177115,0.03497598519157009,0.0,0.0,3
ppo,0.85,nonstationary,off,14.421168611333334,0.030954570614599185,0.005757234534438775,7.598594469872335e-05,3
ppo,0.85,nonstationary,on,13.933592862000003,0.04224948350727462,0.0,0.0,3
ppo,1.0,stationary,off,14.421168611333334,0.030954570614599185,0.005282239849064625,3.312285866280559e-05,3
ppo,1.0,stationary,on,13.933592862000003,0.04224948350727462,0.0,0.0,3
sac,0.85,nonstationary,off,21.990784164335665,19.595545664335663,1.3345500084824517e-05,1.093850222894531e-05,3
sac,1.0,stationary,off,30.619705438494087,26.2575154506077,5e-06,2.8867513459481293e-06,3
